Best,Average,Worst
385823,53926962,161989070
1194849,55506488,162897326
2417762,58020188,164267992
4119371,61402925,166158789
6293727,65824220,168562055
8870156,71297456,171411800
11919777,77545268,174780882
15491755,84662165,178716696
19570282,92739992,183205903
24119075,101988444,188212199
29084288,111945626,193681237
34477193,123235384,199623691
40322440,135360645,206061023
46705442,148450531,213076857
53182980,161554275,220191869
